V1,I1
0,3.9E-13
0.007,1.0939E-10
0.014,2.3654E-10
0.021,3.8508E-10
0.028,5.5592E-10
0.035,7.5824E-10
0.042,9.9637E-10
0.049,1.27548E-09
0.056,1.60487E-09
0.063,1.98829E-09
0.07,2.44573E-09
0.077,2.98616E-09
0.084,3.62509E-09
0.091,4.38156E-09
0.098,5.27792E-09
0.105,6.32722E-09
0.112,7.58441E-09
0.119,9.07583E-09
0.126,1.08492E-08
0.133,1.29473E-08
0.14,1.5415E-08
0.147,1.83753E-08
0.154,2.18805E-08
0.161,2.60498E-08
0.168,3.10137E-08
0.175,3.6918E-08
0.182,4.38504E-08
0.189,5.21841E-08
0.196,6.21032E-08
0.203,7.3926E-08
0.21,8.79993E-08
0.217,1.045997E-07
0.224,1.24615E-07
0.231,1.48518E-07
0.238,1.77063E-07
0.245,2.11281E-07
0.252,2.52302E-07
0.259,3.00874E-07
0.266,3.59861E-07
0.273,4.30771E-07
0.28,5.16113E-07
0.287,6.18989E-07
0.294,7.41732E-07
0.301,8.91543E-07
0.308,1.072535E-06
0.315,1.29209E-06
0.322,1.55703E-06
0.329,1.87836E-06
0.336,2.26706E-06
0.343,2.73871E-06
0.35,3.30309E-06
0.357,3.9935E-06
0.364,4.82827E-06
0.371,5.83856E-06
0.378,7.05822E-06
0.385,8.52676E-06
0.392,1.028875E-05
0.399,1.24047E-05
0.406,1.49358E-05
0.413,1.79482E-05
0.42,2.14877E-05
0.427,2.57144E-05
0.434,3.06964E-05
0.441,3.65352E-05
0.448,4.3361E-05
0.455,5.13015E-05
0.462,6.04929E-05
0.469,7.10374E-05
0.476,8.31834E-05
0.483,9.70692E-05
0.49,0.0001126594
0.497,0.000130598
0.504,0.000150752
0.511,0.000173407
0.518,0.000198759
0.525,0.000227077
0.532,0.000258564
0.539,0.00029341
0.546,0.000331758
0.553,0.000373484
0.56,0.000419694
0.567,0.000470096
0.574,0.000524882
0.581,0.000584107
0.588,0.000647914
0.595,0.000716424
0.602,0.000789666
0.609,0.000867752
0.616,0.000950702
0.623,0.001037223
0.63,0.001129377
0.637,0.00122641
0.644,0.00132793
0.651,0.00143385
0.658,0.00154432
0.665,0.00165766
0.672,0.001776
0.679,0.00189864
0.686,0.00202482
0.693,0.0021553
0.7,0.00228831
