Setup title,"I/V Sweep_0_1_Dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:06:54
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-1.3E-13
0.01,-4E-14
0.02,-3.4E-13
0.03,-1.3E-13
0.04,-2.2E-13
0.05,3E-14
0.06,-5E-14
0.07,-1.8E-13
0.08,-7E-14
0.09,-5E-14
0.1,-5E-14
0.11,1.8E-13
0.12,1.5E-13
0.13,2E-13
0.14,1.7E-13
0.15,6E-14
0.16,1.6E-13
0.17,2.9E-13
0.18,3E-13
0.19,2E-13
0.2,1.3E-13
0.21,2.3E-13
0.22,2.2E-13
0.23,1.6E-13
0.24,2.6E-13
0.25,3E-13
0.26,3.2E-13
0.27,5.1E-13
0.28,4.7E-13
0.29,7.6E-13
0.3,5.7E-13
0.31,7.2E-13
0.32,8.1E-13
0.33,7.9E-13
0.34,6E-13
0.35,9E-13
0.36,8.6E-13
0.37,9.5E-13
0.38,1.07E-12
0.39,1.39E-12
0.4,1.56E-12
0.41,1.3E-12
0.42,1.42E-12
0.43,1.46E-12
0.44,1.56E-12
0.45,1.44E-12
0.46,1.26E-12
0.47,1.2E-12
0.48,1.36E-12
0.49,1.65E-12
0.5,1.83E-12
0.51,5.56E-12
0.52,5.23E-12
0.53,1.98E-12
0.54,2.19E-12
0.55,2.18E-12
0.56,2.28E-12
0.57,2.39E-12
0.58,2.51E-12
0.59,2.63E-12
0.6,3.18E-12
0.61,2.8E-12
0.62,3.55E-12
0.63,3.27E-12
0.64,3.61E-12
0.65,3.57E-12
0.66,3.82E-12
0.67,3.85E-12
0.68,4.22E-12
0.69,4.51E-12
0.7,4.88E-12
0.71,5.21E-12
0.72,5.33E-12
0.73,5.71E-12
0.74,7.19E-12
0.75,6.37E-12
0.76,6.39E-12
0.77,6.4E-12
0.78,8.98E-12
0.79,8.41E-12
0.8,9.03E-12
0.81,9.08E-12
0.82,9.77E-12
0.83,1.02E-11
0.84,1.092E-11
0.85,1.149E-11
0.86,1.369E-11
0.87,1.472E-11
0.88,1.28E-11
0.89,1.285E-11
0.9,1.391E-11
0.91,1.361E-11
0.92,1.542E-11
0.93,1.657E-11
0.94,1.62E-11
0.95,1.706E-11
0.96,1.741E-11
0.97,2.221E-11
0.98,2.576E-11
0.99,2.985E-11
1,4.564E-11
1,4.258E-11
0.99,3.154E-11
0.98,3.571E-11
0.97,3.157E-11
0.96,2.931E-11
0.95,2.604E-11
0.94,2.862E-11
0.93,2.499E-11
0.92,2.451E-11
0.91,2.345E-11
0.9,2.282E-11
0.89,2.563E-11
0.88,2.047E-11
0.87,2.194E-11
0.86,1.965E-11
0.85,2.465E-11
0.84,2.265E-11
0.83,1.619E-11
0.82,1.758E-11
0.81,2.341E-11
0.8,2.059E-11
0.79,1.726E-11
0.78,1.862E-11
0.77,1.052E-11
0.76,7.68E-12
0.75,7.17E-12
0.74,6.81E-12
0.73,6.32E-12
0.72,7.38E-12
0.71,7.25E-12
0.7,5.65E-12
0.69,5.6E-12
0.68,5.29E-12
0.67,5.55E-12
0.66,5.94E-12
0.65,6.13E-12
0.64,5.48E-12
0.63,4.43E-12
0.62,3.91E-12
0.61,3.7E-12
0.6,4.31E-12
0.59,3.82E-12
0.58,3.11E-12
0.57,3.42E-12
0.56,3.18E-12
0.55,2.44E-12
0.54,2.73E-12
0.53,2.41E-12
0.52,2.15E-12
0.51,2.12E-12
0.5,2.01E-12
0.49,1.94E-12
0.48,1.79E-12
0.47,1.71E-12
0.46,1.51E-12
0.45,1.59E-12
0.44,1.36E-12
0.43,1.41E-12
0.42,1.35E-12
0.41,1.23E-12
0.4,1.17E-12
0.39,1.1E-12
0.38,1.02E-12
0.37,1E-12
0.36,9.1E-13
0.35,8.3E-13
0.34,6E-13
0.33,8.2E-13
0.32,9.2E-13
0.31,5.7E-13
0.3,4.9E-13
0.29,4.4E-13
0.28,4.7E-13
0.27,5.2E-13
0.26,4E-13
0.25,4.3E-13
0.24,3.9E-13
0.23,3.4E-13
0.22,1.1E-13
0.21,3.3E-13
0.2,2.8E-13
0.19,1E-13
0.18,7E-14
0.17,-3E-14
0.16,2E-14
0.15,1E-13
0.14,2E-14
0.13,-1E-13
0.12,-2.8E-13
0.11,-1.8E-13
0.1,1.8E-13
0.09,1.1E-13
0.08,-6E-14
0.07,-1.4E-13
0.06,-1.8E-13
0.05,-1.6E-13
0.04,-1.4E-13
0.03,-2.4E-13
0.02,-3.2E-13
0.01,-5.1E-13
0,-3.8E-13
